,County Name,GDP 2018,10/2/20 Known Covid Cases
157,"Mississippi, AR",2379102.0,1745
158,"Monroe, AR",209317.0,144
159,"Montgomery, AR",166282.0,167
160,"Nevada, AR",288562.0,227
161,"Newton, AR",110950.0,251
162,"Ouachita, AR",691271.0,273
163,"Perry, AR",152200.0,90
164,"Phillips, AR",513863.0,545
165,"Pike, AR",268054.0,234
166,"Poinsett, AR",615912.0,703
167,"Polk, AR",541189.0,275
168,"Pope, AR",3002761.0,2210
169,"Prairie, AR",175904.0,159
170,"Pulaski, AR",30084230.0,9648
171,"Randolph, AR",466540.0,467
172,"St. Francis, AR",763463.0,1555
173,"Saline, AR",2277673.0,2233
174,"Scott, AR",300023.0,111
175,"Searcy, AR",140105.0,153
176,"Sebastian, AR",6694948.0,3902
177,"Sevier, AR",484460.0,1209
178,"Sharp, AR",345078.0,246
179,"Stone, AR",252581.0,368
180,"Union, AR",3058568.0,935
181,"Van Buren, AR",510855.0,179
182,"Washington, AR",10971298.0,9809
183,"White, AR",2356340.0,940
184,"Woodruff, AR",221587.0,59
185,"Yell, AR",581790.0,1264
186,"Alameda, CA",144494100.0,21508
187,"Alpine, CA",230220.0,2
188,"Amador, CA",1864239.0,259
189,"Butte, CA",10332996.0,2840
190,"Calaveras, CA",1642450.0,324
191,"Colusa, CA",1721047.0,538
192,"Contra Costa, CA",82436420.0,17069
193,"Del Norte, CA",1046680.0,146
194,"El Dorado, CA",8765718.0,1180
195,"Fresno, CA",47408856.0,28796
196,"Glenn, CA",1483786.0,603
197,"Humboldt, CA",6817827.0,518
198,"Imperial, CA",8444865.0,12002
199,"Inyo, CA",1346160.0,191
200,"Kern, CA",49514180.0,32343
201,"Kings, CA",6145790.0,7851
202,"Lake, CA",2423297.0,581
203,"Lassen, CA",1487738.0,742
204,"Los Angeles, CA",787176700.0,272653
205,"Madera, CA",7201526.0,4642
206,"Marin, CA",23648192.0,6729
207,"Mariposa, CA",910996.0,76
208,"Mendocino, CA",4050620.0,971
209,"Merced, CA",9799550.0,9033
