GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "01023","Choctaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",628888,581294,545631,636399,694281,752755,638447,615091,419850,436193,515885,568763,548240,549797,531136,526604,505034,547773
 "01023","Choctaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",110.571,102.203,95.933,111.892,122.069,132.350,112.252,108.145,73.818,76.692,90.703,100.000,96.392,96.665,93.384,92.588,88.795,96.310
 "01023","Choctaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",490095,448875,422050,495429,557833,633471,553256,558542,377781,409556,509390,568763,568374,575559,563615,558860,555055,620190
 "01025","Clarke, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",675411,680441,679748,738380,770864,832336,826962,789935,768117,730913,762231,800455,802397,794943,806072,793755,771341,784519
 "01025","Clarke, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.378,85.007,84.920,92.245,96.303,103.983,103.312,98.686,95.960,91.312,95.225,100.000,100.243,99.311,100.702,99.163,96.363,98.009
 "01025","Clarke, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",542682,551955,561184,628110,671009,742758,756647,740517,729027,711302,749869,800455,830525,845887,865911,860532,858838,902154
 "01027","Clay, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",320079,327622,303150,332864,363996,402534,337967,317090,296987,298803,280752,282082,304529,306189,320213,315873,323580,339246
 "01027","Clay, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",113.470,116.144,107.469,118.002,129.039,142.701,119.812,112.411,105.284,105.927,99.529,100.000,107.957,108.546,113.518,111.979,114.711,120.265
 "01027","Clay, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",255820,267636,251427,278894,308064,345255,303882,289886,281650,285354,272189,282082,311160,317954,339101,338134,350093,370148
 "01029","Cleburne, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",271460,274232,268479,278130,290048,280266,261695,279690,265204,271045,248463,270776,289075,296770,304126,295526,284999,294019
 "01029","Cleburne, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.253,101.276,99.152,102.716,107.117,103.505,96.646,103.292,97.942,100.099,91.760,100.000,106.758,109.600,112.316,109.141,105.253,108.584
 "01029","Cleburne, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",208256,213454,215176,237287,249728,251505,250512,272061,242098,257665,247494,270776,290823,304725,306064,293355,295903,314601
 "01031","Coffee, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1011108,1028984,1028164,1108194,1144119,1135898,1189954,1212977,1242523,1251788,1193557,1198684,1223521,1256392,1349456,1375548,1410365,1470262
 "01031","Coffee, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.352,85.843,85.774,92.451,95.448,94.762,99.272,101.192,103.657,104.430,99.572,100.000,102.072,104.814,112.578,114.755,117.659,122.656
 "01031","Coffee, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",792665,816217,834662,929729,966272,979072,1063097,1106958,1153293,1182783,1159820,1198684,1251125,1301693,1418338,1455937,1515081,1598712
 "01033","Colbert, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1902907,1942477,2089272,2208370,2277966,2329407,2291151,2329441,2089271,2292899,2414030,2423750,2668009,2770932,2814138,2778239,2708633,2755838
 "01033","Colbert, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",78.511,80.143,86.200,91.114,93.985,96.108,94.529,96.109,86.200,94.601,99.599,100.000,110.078,114.324,116.107,114.626,111.754,113.701
 "01033","Colbert, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1412261,1465019,1612792,1783415,1915929,2065489,2093788,2171977,1941540,2178810,2379580,2423750,2688630,2860813,2943816,2897465,2918397,3066841
 "01035","Conecuh, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",298834,299049,301423,326314,371863,440868,465197,476403,468286,409650,461972,513044,520962,457751,466177,464317,456696,449646
 "01035","Conecuh, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",58.247,58.289,58.752,63.604,72.482,85.932,90.674,92.858,91.276,79.847,90.045,100.000,101.543,89.223,90.865,90.502,89.017,87.643
 "01035","Conecuh, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",244667,248825,256978,289190,349618,424657,467810,556517,411709,403120,486984,513044,544996,476897,394580,382557,402218,418296
 "01037","Coosa, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",159400,162349,157598,164292,175179,196394,177672,166342,168701,163218,166606,157905,166717,162822,164838,168598,167226,177103
 "01037","Coosa, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",100.947,102.814,99.806,104.045,110.940,124.375,112.519,105.343,106.837,103.365,105.511,100.000,105.580,103.114,104.391,106.772,105.903,112.158
 "01037","Coosa, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",135910,140606,138434,146541,159261,181322,169078,158591,166189,159510,163521,157905,170109,170166,177599,183530,184130,197978
 "01039","Covington, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",962372,1037976,993825,1073132,1054225,1081393,1068148,1049192,1042842,1093847,1048277,1105577,1133905,1118312,1126948,1120631,1134066,1146899
 "01039","Covington, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.047,93.885,89.892,97.065,95.355,97.813,96.614,94.900,94.326,98.939,94.817,100.000,102.562,101.152,101.933,101.362,102.577,103.738
 "01039","Covington, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",758067,822501,803717,898800,898791,949347,975495,975169,996001,1054935,1033542,1105577,1159860,1174565,1207681,1209260,1245954,1288409
 "01041","Crenshaw, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",266552,260764,280204,311388,371561,403818,353163,352358,331355,388562,375388,414188,440339,412119,427983,403588,403510,408219
 "01041","Crenshaw, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",64.355,62.958,67.651,75.180,89.708,97.496,85.266,85.072,80.001,93.813,90.632,100.000,106.314,99.500,103.331,97.441,97.422,98.559
 "01041","Crenshaw, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",215530,209882,235423,279620,320800,344249,325413,326914,306328,366890,362135,414188,451438,427076,446519,417429,427004,433890
 "01043","Cullman, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2010215,2011372,2098040,2292454,2391403,2409070,2280234,2250336,2169865,2235248,2222302,2298846,2401178,2408628,2479048,2473561,2491025,2548547
 "01043","Cullman, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",87.445,87.495,91.265,99.722,104.026,104.795,99.190,97.890,94.389,97.233,96.670,100.000,104.451,104.776,107.839,107.600,108.360,110.862
 "01043","Cullman, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1623166,1638237,1743312,1970954,2062353,2113180,2074478,2086447,2067140,2145055,2164800,2298846,2456765,2500910,2619601,2635239,2695368,2810701
 "01045","Dale, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1943789,2006107,2057830,2216187,2452003,2588582,2608458,2715437,2759847,2879080,2755767,2689377,2625737,2453315,2405727,2423899,2459148,2505314
 "01045","Dale, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",72.277,74.594,76.517,82.405,91.174,96.252,96.991,100.969,102.620,107.054,102.469,100.000,97.634,91.222,89.453,90.129,91.439,93.156
 "01045","Dale, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1454274,1546752,1645167,1822826,2075963,2268894,2360833,2507434,2619027,2774363,2708691,2689377,2675048,2552033,2563462,2614431,2696020,2807124
 "01047","Dallas, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1282037,1246823,1222533,1297393,1352021,1418712,1347712,1285280,1228416,1221960,1233853,1254605,1237017,1204486,1186330,1196803,1156152,1174931
 "01047","Dallas, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",102.187,99.380,97.444,103.410,107.765,113.080,107.421,102.445,97.913,97.398,98.346,100.000,98.598,96.005,94.558,95.393,92.153,93.649
 "01047","Dallas, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1005747,991371,985716,1074667,1141697,1232462,1215241,1180747,1163674,1175851,1210351,1254605,1271635,1261329,1272762,1298159,1282061,1330950
 "01049","DeKalb, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1659631,1683748,1723978,1847287,1812673,1917641,1854515,1799929,1699022,1722091,1554542,1589171,1728587,1711271,1728455,1621227,1688189,1768414
 "01049","DeKalb, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.434,105.951,108.483,116.242,114.064,120.669,116.697,113.262,106.913,108.364,97.821,100.000,108.773,107.683,108.765,102.017,106.231,111.279
 "01049","DeKalb, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1381098,1413515,1463808,1604016,1575231,1686064,1677851,1652204,1605349,1641325,1511446,1589171,1768470,1773704,1821193,1726418,1819727,1932838
 "01051","Elmore, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1056049,1138200,1220794,1321338,1372071,1418529,1468534,1494879,1517128,1565121,1553677,1559648,1603257,1575546,1614849,1639742,1653310,1694188
 "01051","Elmore, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",67.711,72.978,78.274,84.720,87.973,90.952,94.158,95.847,97.274,100.351,99.617,100.000,102.796,101.019,103.539,105.135,106.005,108.626
 "01051","Elmore, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",861603,944326,1025978,1132502,1205588,1284111,1365177,1405552,1465294,1517955,1526868,1559648,1634217,1643008,1722808,1773898,1817846,1902516
 "01053","Escambia, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1176283,1182087,1158047,1259000,1339497,1377942,1412508,1344961,1322071,1280591,1251755,1250140,1225961,1175195,1152718,1162771,1163160,1172006
 "01053","Escambia, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",94.092,94.556,92.633,100.709,107.148,110.223,112.988,107.585,105.754,102.436,100.129,100.000,98.066,94.005,92.207,93.011,93.042,93.750
 "01053","Escambia, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",886097,881471,916153,1046942,1188817,1254730,1330764,1382763,1212889,1245028,1259045,1250140,1260729,1232631,1157566,1165229,1210874,1270995
 "01055","Etowah, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",2604259,2664316,2687323,2827403,2830042,2831517,2814999,2821187,2716066,2793082,2823761,2801621,2759996,2725594,2741934,2742949,2746645,2803470
 "01055","Etowah, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.955,95.099,95.920,100.920,101.014,101.067,100.478,100.698,96.946,99.695,100.790,100.000,98.514,97.286,97.870,97.906,98.038,100.066
 "01055","Etowah, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2049415,2141233,2192448,2358919,2419070,2496403,2545538,2604695,2592252,2679669,2748762,2801621,2817909,2835881,2931523,2986341,3028343,3153479
 "01057","Fayette, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",391772,374613,382704,403407,411137,418287,401872,494355,472901,524262,478869,456379,417531,336051,334480,325660,327225,331837
 "01057","Fayette, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",85.844,82.084,83.857,88.393,90.087,91.654,88.057,108.321,103.620,114.874,104.928,100.000,91.488,73.634,73.290,71.357,71.700,72.711
 "01057","Fayette, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",301471,290554,302388,326646,340037,351822,345406,440455,429300,496287,472079,456379,419113,343500,347163,343141,351208,364749
 "01059","Franklin, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",786450,776579,801967,883440,907251,882791,896408,889247,848381,873739,938550,846161,862899,815764,829741,802754,849068,886031
 "01059","Franklin, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",92.943,91.777,94.777,104.406,107.220,104.329,105.938,105.092,100.262,103.259,110.919,100.000,101.978,96.408,98.060,94.870,100.344,104.712
 "01059","Franklin, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",596097,596358,631435,720934,749633,738236,770973,779338,765704,803445,899784,846161,872055,837426,869884,845435,915735,985758
 "01061","Geneva, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",471997,485101,486116,480300,506055,518786,531629,535837,520216,518089,472506,474268,485312,478547,505054,513876,496140,519624
 "01061","Geneva, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.521,102.284,102.498,101.272,106.702,109.387,112.095,112.982,109.688,109.240,99.629,100.000,102.329,100.902,106.491,108.351,104.612,109.563
 "01061","Geneva, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",355287,366455,380104,395404,415596,435173,474763,487828,473484,482710,460412,474268,498385,496486,525725,533310,526443,560428
 "01063","Greene, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",305880,343369,352319,389734,396285,397056,379181,331408,317147,313275,338551,292866,302355,281552,255456,245437,225323,235854
 "01063","Greene, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",104.443,117.244,120.300,133.076,135.313,135.576,129.472,113.160,108.291,106.969,115.599,100.000,103.240,96.137,87.226,83.805,76.937,80.533
 "01063","Greene, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",207595,228267,247530,287084,307638,324576,326021,285878,277976,282363,331340,292866,304242,287609,261527,243347,233558,256197
 "01065","Hale, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",275076,293387,325651,336324,347332,384408,333301,323876,312452,319238,308140,300089,294950,266928,280598,291003,285818,280041
 "01065","Hale, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.665,97.767,108.518,112.075,115.743,128.098,111.067,107.927,104.120,106.381,102.683,100.000,98.288,88.950,93.505,96.972,95.244,93.319
 "01065","Hale, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",206446,224198,257331,280835,287135,319366,296690,293229,278934,294138,298890,300089,306531,281655,293782,302369,305793,306727
 "01067","Henry, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",329023,361163,338004,348449,370037,379768,356324,346354,317698,311454,331215,316972,327702,308473,312287,308340,320602,327713
 "01067","Henry, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",103.802,113.942,106.635,109.930,116.741,119.811,112.415,109.270,100.229,98.259,104.493,100.000,103.385,97.319,98.522,97.277,101.145,103.389
 "01067","Henry, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",260301,288655,277065,297992,320147,335546,323785,319920,297980,296688,321874,316972,339726,329717,342670,345632,365637,383534
 "01069","Houston, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",3768541,3980332,4043538,4180795,4230109,4347500,4354111,4207283,4045453,4088604,4115993,4209805,4274116,4212494,4190752,4221379,4238912,4349489
 "01069","Houston, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",89.518,94.549,96.050,99.311,100.482,103.271,103.428,99.940,96.096,97.121,97.772,100.000,101.528,100.064,99.547,100.275,100.691,103.318
 "01069","Houston, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",2993685,3196606,3312470,3506475,3644866,3863449,3974855,3908080,3916096,3967265,4039261,4209805,4378038,4442165,4521599,4605737,4689653,4923509
 "01071","Jackson, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",1544492,1604793,1587541,1763542,1801379,1838071,1798510,1718411,1520070,1563322,1505556,1556659,1546440,1527758,1420121,1317412,1300797,1319359
 "01071","Jackson, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",99.218,103.092,101.984,113.290,115.721,118.078,115.536,110.391,97.650,100.428,96.717,100.000,99.343,98.143,91.229,84.631,83.563,84.756
 "01071","Jackson, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",1228788,1282839,1287629,1461215,1521803,1609080,1624300,1577219,1445483,1505826,1484551,1556659,1580260,1596898,1518612,1428085,1431956,1483373
 "01073","Jefferson, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",37689260,38884307,39167965,40857284,41130878,40072971,39871197,40253237,37992044,38150914,38912595,39515681,39223992,39020527,39503092,39475772,40567288,41774355
 "01073","Jefferson, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",95.378,98.402,99.120,103.395,104.087,101.410,100.900,101.866,96.144,96.546,98.474,100.000,99.262,98.747,99.968,99.899,102.661,105.716
 "01073","Jefferson, AL",5,CAGDP1,3,"...","Current-dollar GDP (thousands of current dollars)","Thousands of dollars",28675258,30108727,30940729,33456172,35018485,35552368,36493156,37581344,35589650,36380795,38111145,39515681,39819308,40503868,41661199,42082104,44232924,46959136
 "01075","Lamar, AL",5,CAGDP1,1,"...","Real GDP (thousands of chained 2012 dollars)","Thousands of chained 2012 dollars",359620,346348,321705,341350,351911,355109,345991,326066,296227,296981,313626,319162,314774,296869,291779,288955,289482,296054
 "01075","Lamar, AL",5,CAGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",112.676,108.518,100.797,106.952,110.261,111.263,108.406,102.163,92.814,93.050,98.265,100.000,98.625,93.015,91.420,90.535,90.701,92.760
